len,pattern
105,bwstair
149,jan
108,hstair
177,joe
134,stair
144,shbwstair
55,hstair
67,stair
134,hbwstair
234,bil
197,joe
123,shstair
54,hbwstair
224,shstair
95,stair
170,test-1-nps
110,hbwstair
216,noa
191,mat
166,noa
189,stair
238,test-1-nps
41,hang
180,joe
169,hstair
224,hstair
34,shbwstair
125,noa
78,jan
205,jak
160,noa
205,jak
101,jak
170,shbwstair
53,hstair
223,estair
30,bwstair
152,hang
190,hbwstair
218,shbwstair
74,noa
154,hang
154,mat
120,noa
211,estair
168,test-1-nps
234,estair
58,bil
179,shstair
139,jak
217,shbwstair
229,estair
136,bwstair
148,bwstair
33,hang
62,shstair
97,stair
168,shbwstair
107,jan
124,hang
165,estair
117,noa
90,ebwstair
81,estair
108,hbwstair
36,bwstair
185,mat
147,estair
231,noa
166,estair
60,hang
44,bwstair
221,bil
159,ebwstair
228,shbwstair
71,mat
155,bil
140,mat
41,ebwstair
150,jan
162,hstair
133,hstair
108,jak
181,shbwstair
168,estair
225,stair
110,ebwstair
49,mat
231,noa
97,hbwstair
206,hbwstair
45,hang
52,ebwstair
135,bwstair
65,jak
36,stair
105,jak
91,shstair
129,joe
195,hbwstair
143,noa
78,jak
59,ebwstair
70,jan
218,jan
203,bwstair
164,bil
147,noa
172,mat
239,hang
150,ebwstair
154,shstair
66,test-1-nps
151,stair
74,hbwstair
161,hstair
171,shbwstair
148,noa
107,shbwstair
104,hstair
195,bil
52,jan
99,jak
210,shstair
160,ebwstair
97,stair
127,shbwstair
236,test-1-nps
34,stair
91,joe
164,hang
139,jak
103,shstair
188,jan
95,mat
195,joe
207,estair
190,hang
176,estair
48,ebwstair
119,shbwstair
136,shstair
224,ebwstair
74,shstair
130,hstair
80,bwstair
121,bwstair
109,hang
193,jak
157,hang
66,jak
48,jan
121,hbwstair
172,hang
117,joe
219,hbwstair
103,shstair
70,hbwstair
186,jan
97,jan
50,shbwstair
191,shstair
160,hstair
112,hbwstair
124,jak
216,noa
234,hstair
238,stair
168,mat
238,hang
126,noa
70,jan
47,jan
210,jan
225,hstair
131,hbwstair
65,mat
160,shbwstair
113,ebwstair
135,shstair
185,jak
201,stair
156,jak
239,ebwstair
34,noa
88,test-1-nps
159,hbwstair
167,jak
192,jan
94,test-1-nps
81,jak
233,mat
43,ebwstair
82,shbwstair
201,shstair
92,bwstair
48,mat
163,noa
80,stair
114,hstair
61,ebwstair
106,hang
100,hbwstair
106,hbwstair
132,estair
228,shbwstair
207,shbwstair
120,bwstair
70,jan
111,stair
69,joe
169,hstair
72,bwstair
164,jan
49,jan
46,joe
230,shstair
74,stair
197,bwstair
169,joe
133,estair
110,ebwstair
124,ebwstair
110,shstair
228,shstair
151,mat
216,stair
142,noa
175,hstair
58,bwstair
45,noa
136,stair
233,ebwstair
103,test-1-nps
200,hbwstair
103,estair
48,mat
95,bil
230,bil
113,test-1-nps
170,jan
215,hbwstair
110,hbwstair
173,joe
149,shstair
82,mat
202,test-1-nps
198,hang
185,jan
157,bil
116,bwstair
171,mat
152,hstair
79,bwstair
210,stair
125,shstair
53,bwstair
69,estair
114,bil
125,bwstair
188,shstair
30,bwstair
181,hstair
213,ebwstair
140,shbwstair
97,jak
141,estair
150,mat
122,noa
43,stair
160,noa
185,hstair
47,shstair
82,jan
229,mat
79,hang
219,jan
190,stair
105,ebwstair
102,mat
215,jak
48,hang
43,jan
230,bil
164,shstair
108,jak
140,shbwstair
98,ebwstair
155,bwstair
206,joe
119,stair
98,bwstair
216,bwstair
91,estair
181,shbwstair
94,hbwstair
108,hbwstair
106,hbwstair
37,test-1-nps
40,shstair
233,shstair
145,hstair
136,hbwstair
114,bwstair
116,joe
124,mat
75,jak
144,stair
209,test-1-nps
103,stair
107,joe
232,mat
165,hstair
103,ebwstair
42,bil
155,shstair
62,hang
94,estair
173,mat
41,estair
230,ebwstair
57,bil
231,joe
75,jan
43,hstair
136,hang
214,hbwstair
59,estair
116,hbwstair
220,mat
99,noa
208,noa
228,jan
108,jak
149,bil
50,stair
126,test-1-nps
70,estair
226,mat
48,shstair
200,hstair
176,hstair
152,jak
57,shstair
151,hstair
171,bil
74,hstair
103,ebwstair
72,bwstair
113,noa
168,bil
214,noa
126,stair
200,estair
32,hang
152,bwstair
108,jan
172,test-1-nps
165,shstair
234,estair
165,bwstair
178,stair
180,jak
187,shstair
115,bwstair
84,bwstair
132,hbwstair
80,jak
190,hbwstair
199,hstair
95,joe
107,bwstair
73,stair
92,stair
202,joe
190,shstair
232,ebwstair
158,bwstair
96,jan
83,hang
54,mat
138,mat
48,joe
223,joe
94,jan
163,jak
58,test-1-nps
192,noa
94,joe
86,noa
195,shstair
227,jan
216,stair
79,test-1-nps
86,jak
44,bwstair
180,shstair
99,bwstair
104,mat
206,ebwstair
237,ebwstair
55,hbwstair
176,jan
139,estair
154,ebwstair
205,jak
157,bwstair
144,stair
58,hstair
54,bwstair
194,mat
205,hbwstair
93,noa
187,noa
239,shbwstair
41,hstair
228,bil
218,joe
59,test-1-nps
67,hbwstair
119,joe
112,shbwstair
236,estair
30,jan
200,estair
40,joe
172,test-1-nps
59,noa
56,jak
234,estair
186,jan
160,ebwstair
210,hstair
70,ebwstair
217,test-1-nps
35,hang
207,hbwstair
46,mat
146,shbwstair
98,bwstair
120,test-1-nps
131,jak
168,hang
72,jan
237,shbwstair
35,ebwstair
69,estair
187,jan
76,shstair
56,hstair
108,shstair
109,noa
166,joe
116,hstair
186,hang
122,jan
162,bil
77,bil
39,hang
214,test-1-nps
227,jan
160,hbwstair
73,hstair
159,hang
124,stair
199,noa
151,test-1-nps
173,hang
79,bil
115,bwstair
202,bwstair
56,noa
52,stair
122,jak
216,shbwstair
141,stair
226,ebwstair
138,ebwstair
158,estair
75,stair
127,ebwstair
170,mat
184,bwstair
139,test-1-nps
87,mat
32,estair
120,mat
73,hstair
234,hbwstair
135,joe
118,bwstair
144,bil
210,noa
56,mat
210,ebwstair
206,jak
178,joe
226,jak
176,noa
224,hang
64,stair
48,hang
124,test-1-nps
235,shbwstair
235,hang
33,jan
141,hstair
118,joe
147,mat
200,test-1-nps
123,joe
161,shbwstair
66,ebwstair
191,stair
235,joe
65,estair
70,mat
142,joe
60,bil
111,hbwstair
94,hbwstair
200,hang
35,shstair
183,test-1-nps
75,joe
98,ebwstair
161,shbwstair
104,bwstair
160,noa
76,mat
106,bil
160,noa
45,stair
207,shstair
227,hstair
75,noa
37,mat
67,noa
35,jan
70,noa
77,hstair
92,stair
74,shstair
179,hstair
116,estair
226,shstair
74,jak
165,test-1-nps
39,hbwstair
149,bwstair
91,shstair
118,jak
207,jan
192,bwstair
60,joe
30,hang
62,noa
96,estair
206,estair
232,estair
46,test-1-nps
64,shbwstair
190,hstair
221,joe
191,shstair
121,test-1-nps
159,bwstair
