len,pattern
175,hstair
191,hbwstair
69,shstair
160,noa
220,stair
143,shbwstair
31,ebwstair
48,shbwstair
134,stair
194,ebwstair
197,estair
68,jan
50,stair
92,hstair
237,hang
149,stair
203,bwstair
226,test-1-nps
111,stair
132,noa
96,shstair
231,hstair
111,joe
100,joe
169,stair
76,estair
157,shbwstair
110,mat
167,jan
159,shstair
156,bil
36,estair
182,estair
158,estair
234,bwstair
209,noa
130,joe
129,hstair
175,hang
65,test-1-nps
208,hstair
199,jan
98,hang
92,bil
196,hbwstair
230,shstair
148,shbwstair
78,jak
223,noa
71,shbwstair
36,shstair
166,mat
54,shbwstair
73,mat
225,test-1-nps
93,stair
47,stair
38,jak
46,noa
221,stair
57,estair
143,hstair
170,noa
152,noa
44,hbwstair
136,stair
86,test-1-nps
229,hstair
210,shstair
209,jan
214,estair
34,mat
30,joe
226,estair
126,joe
114,bwstair
31,hang
153,test-1-nps
168,jak
190,joe
169,hstair
45,jan
231,noa
124,mat
185,test-1-nps
215,stair
58,estair
232,joe
238,joe
223,mat
110,hbwstair
236,bwstair
55,bil
165,shstair
140,shbwstair
64,noa
144,hbwstair
104,ebwstair
60,noa
145,shstair
59,hang
48,mat
48,jan
88,hang
193,hang
111,hang
66,test-1-nps
45,noa
139,stair
56,bil
199,mat
84,bil
122,mat
51,test-1-nps
38,hbwstair
199,shstair
81,hang
52,bwstair
132,estair
158,hstair
188,hang
224,mat
235,test-1-nps
197,noa
155,bil
37,noa
220,stair
94,ebwstair
90,test-1-nps
184,bil
39,stair
30,hang
187,ebwstair
148,mat
208,ebwstair
73,noa
186,bil
149,ebwstair
52,shstair
185,hang
139,bwstair
70,shstair
142,jan
104,bil
220,ebwstair
177,bwstair
177,hbwstair
188,stair
78,hstair
150,estair
200,hstair
170,jan
107,stair
49,estair
130,hstair
199,joe
223,shstair
46,stair
65,noa
66,hang
226,hang
40,jan
226,joe
57,shstair
193,bil
162,bil
221,test-1-nps
202,estair
112,bil
221,hang
190,hang
205,bil
127,estair
175,hbwstair
71,hstair
124,noa
182,bwstair
229,test-1-nps
111,jak
48,jak
186,hang
192,test-1-nps
48,mat
88,test-1-nps
67,jak
127,shbwstair
207,bwstair
151,mat
232,hbwstair
151,estair
113,bwstair
81,bwstair
97,ebwstair
120,noa
130,hang
84,bil
63,stair
222,hbwstair
75,hbwstair
122,hang
92,ebwstair
160,hstair
164,stair
149,jan
211,bwstair
159,bwstair
67,ebwstair
103,joe
46,mat
139,mat
70,jak
185,noa
166,mat
123,bwstair
67,hbwstair
187,shbwstair
60,stair
88,hstair
93,jak
151,joe
165,jak
51,jan
72,mat
36,hstair
114,estair
143,joe
209,jan
133,test-1-nps
144,estair
131,noa
185,jan
148,shbwstair
78,estair
31,jak
133,hstair
230,hstair
192,shbwstair
211,noa
82,joe
232,test-1-nps
106,mat
38,bil
94,estair
38,jak
73,shstair
31,test-1-nps
229,estair
182,shstair
157,mat
89,bwstair
115,hstair
176,bwstair
99,ebwstair
146,joe
183,jan
224,stair
53,bwstair
133,shstair
168,joe
219,hang
49,hbwstair
201,joe
180,test-1-nps
146,bwstair
221,jak
177,shbwstair
127,hbwstair
151,bil
119,estair
187,bil
70,mat
196,bil
230,joe
62,joe
225,ebwstair
44,joe
116,shbwstair
126,estair
98,hstair
165,jan
226,shstair
59,noa
159,estair
99,estair
83,shstair
208,ebwstair
222,ebwstair
194,hbwstair
182,shstair
142,shbwstair
